n_neighbors,min_dist,metric,threshold,test_size,n_estimators,max_depth,min_samples_split,accuracy,silhouette_score,precision_R,recall_R,f1_R,precision_S,recall_S,f1_S,precision_I,recall_I,f1_I
10,0.1,euclidean,0.1,0.2,100,20.0,2,0.6468531468531469,-0.005280437,0.6167664670658682,0.5264054514480409,0.5680147058823529,0.6630785791173305,0.7709637046307884,0.7129629629629629,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,20.0,5,0.6363636363636364,-0.005280437,0.5988142292490118,0.5161839863713799,0.5544373284537969,0.6569264069264069,0.7596996245306633,0.7045850261172374,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,20.0,10,0.6461538461538462,-0.005280437,0.6174089068825911,0.5195911413969335,0.5642923219241444,0.6613247863247863,0.7747183979974969,0.7135446685878962,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,,2,0.6188811188811189,-0.005280437,0.5652173913043478,0.5536626916524702,0.5593803786574871,0.6572769953051644,0.7008760951188986,0.6783767413688674,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,,5,0.6307692307692307,-0.005280437,0.5798922800718133,0.5502555366269165,0.5646853146853147,0.6632302405498282,0.7246558197747184,0.6925837320574163,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,100,,10,0.6363636363636364,-0.005280437,0.5954631379962193,0.5366269165247018,0.5645161290322581,0.660377358490566,0.7446808510638298,0.7,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,10.0,2,0.6622377622377622,-0.005280437,0.6767676767676768,0.4565587734241908,0.5452695829094608,0.6566731141199227,0.8498122653316645,0.7408619749045281,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,10.0,5,0.6643356643356644,-0.005280437,0.6828644501278772,0.454855195911414,0.5460122699386503,0.6573628488931665,0.8548185231539425,0.7431991294885746,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,10.0,10,0.6566433566433566,-0.005280437,0.6675126903553299,0.44804088586030666,0.5361875637104995,0.6525096525096525,0.8460575719649562,0.7367847411444142,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,20.0,2,0.6475524475524476,-0.005280437,0.6137254901960785,0.5332197614991482,0.5706472196900638,0.6670293797606094,0.7672090112640801,0.7136204889406287,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,20.0,5,0.6405594405594406,-0.005280437,0.6058823529411764,0.5264054514480409,0.5633546034639927,0.6597826086956522,0.7596996245306633,0.7062245491564864,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,20.0,10,0.6503496503496503,-0.005280437,0.6252545824847251,0.5229982964224872,0.5695732838589982,0.663471778487753,0.7797246558197747,0.716915995397008,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,,2,0.6251748251748251,-0.005280437,0.5726795096322241,0.5570698466780238,0.5647668393782384,0.661610268378063,0.7096370463078848,0.6847826086956522,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,,5,0.634965034965035,-0.005280437,0.5876106194690266,0.565587734241908,0.5763888888888888,0.6658959537572254,0.72090112640801,0.6923076923076923,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.2,200,,10,0.6356643356643357,-0.005280437,0.5954631379962193,0.5366269165247018,0.5645161290322581,0.6592674805771365,0.7434292866082604,0.6988235294117647,0.0,0.0,0.0
10,0.1,euclidean,0.1,0.3,50,10.0,2,0.6595149253731343,-0.005280437,0.6813380281690141,0.4367945823927765,0.53232462173315,0.6516497461928934,0.8579782790309106,0.7407140281283808,0.0,0.0,0.0
